t,x,y,z,w
1575299826882,-0.01691,0.00978,-0.16153,0.25204
1575299826972,-0.02457,0.01382,-0.16558,0.24858
1575299827108,-0.03175,0.01644,-0.16795,0.24599
1575299827159,-0.03071,0.01346,-0.16875,0.24576
1575299827263,-0.02825,0.00980,-0.17009,0.24531
1575299827330,-0.02925,0.00598,-0.17002,0.24536
1575299827423,-0.03126,0.00519,-0.17059,0.24474
1575299827523,-0.03526,0.00786,-0.16956,0.24484
1575299827595,-0.03832,0.01125,-0.16845,0.24501
1575299827688,-0.04095,0.01620,-0.16907,0.24388
1575299827790,-0.04294,0.02002,-0.16927,0.24312
1575299827865,-0.04289,0.02153,-0.16868,0.24340
1575299827945,-0.04188,0.02215,-0.16838,0.24373
1575299828041,-0.04175,0.02217,-0.16765,0.24425
1575299828132,-0.04291,0.02014,-0.16482,0.24615
1575299828221,-0.04483,0.01576,-0.16214,0.24790
1575299828316,-0.04681,0.00941,-0.16703,0.24459
1575299828394,-0.05075,0.00591,-0.17317,0.23959
1575299828482,-0.05560,0.00392,-0.17685,0.23584
1575299828576,-0.06136,0.00262,-0.17665,0.23457
1575299828666,-0.06753,0.00245,-0.17581,0.23350
1575299828754,-0.07167,0.00287,-0.17460,0.23317
1575299828839,-0.07290,0.00397,-0.17259,0.23427
1575299828936,-0.07223,0.00470,-0.17087,0.23573
1575299829026,-0.07141,0.00438,-0.16942,0.23702
1575299829101,-0.07098,0.00288,-0.16781,0.23832
1575299829189,-0.07066,0.00057,-0.16599,0.23970
1575299829276,-0.06989,-0.00126,-0.16458,0.24089
1575299829365,-0.06974,-0.00051,-0.16459,0.24093
1575299829454,-0.06953,0.00472,-0.17019,0.23702
1575299829542,-0.06828,0.01188,-0.17748,0.23173
1575299829638,-0.06542,0.01642,-0.18235,0.22847
1575299829723,-0.06384,0.01582,-0.18377,0.22783
